Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
STANDARD,instances/scqbf/n25p1.txt,-141.62,204,123,NO_IMPROVEMENT
STANDARD,instances/scqbf/n25p2.txt,-193.29,201,179,NO_IMPROVEMENT
STANDARD,instances/scqbf/n25p3.txt,-166.06,124,117,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p1.txt,-351.69,425,142,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p2.txt,-665.84,528,143,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p3.txt,-675.33,607,160,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p1.txt,-1642.60,2430,287,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p2.txt,-1564.19,4460,342,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p3.txt,-1496.09,2952,219,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p1.txt,-2153.19,4255,782,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p2.txt,-4626.51,43907,789,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p3.txt,-3976.58,51168,831,NO_IMPROVEMENT
STANDARD,instances/scqbf/n400p1.txt,-6714.56,12408,1000,MAX_GENERATIONS
STANDARD,instances/scqbf/n400p2.txt,-12464.83,244491,1000,MAX_GENERATIONS
STANDARD,instances/scqbf/n400p3.txt,-10667.23,155643,491,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p1.txt,-141.62,259,126,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p2.txt,-184.68,263,110,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p3.txt,-166.06,260,113,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p1.txt,-351.69,1087,173,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p2.txt,-670.46,1589,198,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p3.txt,-675.33,1185,141,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p1.txt,-1624.98,4583,264,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p2.txt,-1573.66,9322,323,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p3.txt,-1499.50,8616,281,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p1.txt,-2019.19,6989,653,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p2.txt,-4628.13,45654,407,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p3.txt,-3983.73,69469,560,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p1.txt,-5709.07,17923,768,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p2.txt,-12222.36,434989,857,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p3.txt,-11025.64,661135,998,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n25p1.txt,-141.62,70,110,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n25p2.txt,-184.68,189,190,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n25p3.txt,-166.06,134,117,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n50p1.txt,-220.13,272,284,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n50p2.txt,-665.65,1079,252,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n50p3.txt,-645.36,665,162,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n100p1.txt,-1032.43,351,164,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n100p2.txt,-1417.80,8207,557,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n100p3.txt,-1106.30,2492,165,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n200p1.txt,118.10,838,173,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n200p2.txt,-2686.94,9988,176,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n200p3.txt,-2341.87,19063,281,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n400p1.txt,-2529.35,2258,176,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n400p2.txt,-6056.45,46112,191,NO_IMPROVEMENT
STANDARD_M2,instances/scqbf/n400p3.txt,-5692.45,133677,424,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n25p1.txt,-115.56,70,120,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n25p2.txt,-184.68,65,116,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n25p3.txt,-166.06,73,124,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n50p1.txt,-359.07,738,231,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n50p2.txt,-670.46,562,138,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n50p3.txt,-675.33,656,154,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n100p1.txt,-1666.79,9550,485,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n100p2.txt,-1585.32,8578,245,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n100p3.txt,-1496.39,7873,239,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n200p1.txt,-1914.20,17039,827,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n200p2.txt,-4664.23,83312,323,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n200p3.txt,-4096.35,165182,640,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n400p1.txt,-6272.74,47868,531,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n400p2.txt,-12017.86,560532,246,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n400p3.txt,-10954.10,1698791,559,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p1.txt,-141.62,114,128,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p2.txt,-184.68,206,138,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p3.txt,-166.06,174,131,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p1.txt,-359.07,545,204,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p2.txt,-670.46,1052,226,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p3.txt,-675.33,691,150,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p1.txt,-1636.73,3057,306,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p2.txt,-1574.99,4254,253,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p3.txt,-1560.85,6661,293,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p1.txt,-3009.60,21419,597,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p2.txt,-4796.12,48076,700,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p3.txt,-4227.72,71575,1000,MAX_GENERATIONS
FUNC_MUT,instances/scqbf/n400p1.txt,-12629.59,113825,686,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n400p2.txt,-14528.49,321978,768,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n400p3.txt,-12828.42,402345,1000,MAX_GENERATIONS
