instancia,metodo,r
n100p1,GRASP,1.0
n100p1,TABU,1.0532656358181398
n100p1,GA,1.6470036156627432
n100p1,PLI,1.0061543195630434
n100p2,GRASP,1.0
n100p2,TABU,1.009408853450646
n100p2,GA,1.0
n100p2,PLI,1.0
n100p3,GRASP,1.0
n100p3,TABU,1.00083769756189
n100p3,GA,1.0
n100p3,PLI,1.0047098520262907
n200p1,GRASP,1.0
n200p1,TABU,1.0
n200p1,GA,1.6873027198955097
n200p1,PLI,1.0032189663026434
n200p2,GRASP,1.0
n200p2,TABU,1.0012721283950194
n200p2,GA,1.0003276694350807
n200p2,PLI,1.0514505261985634
n200p3,GRASP,1.0
n200p3,TABU,1.0139944772443508
n200p3,GA,1.0084212946807674
n200p3,PLI,1.0488717482204342
n25p1,GRASP,1.0
n25p1,TABU,1.1293096828687705
n25p1,GA,1.0
n25p1,PLI,1.0
n25p2,GRASP,1.0
n25p2,TABU,1.0
n25p2,GA,1.0
n25p2,PLI,1.0
n25p3,GRASP,1.0
n25p3,TABU,1.0
n25p3,GA,1.0
n25p3,PLI,1.0
n400p1,GRASP,1.0
n400p1,TABU,1.000532242649233
n400p1,GA,2.1452202130115205
n400p1,PLI,1.1123957214558648
n400p2,GRASP,1.0
n400p2,TABU,1.0017332291768382
n400p2,GA,1.0017332291768382
n400p2,PLI,1.5233375646909482
n400p3,GRASP,1.0
n400p3,TABU,1.3718539469901239
n400p3,GA,1.0015805055442022
n400p3,PLI,1.5198270302192038
n50p1,GRASP,1.0
n50p1,TABU,1.0
n50p1,GA,1.0074500215734215
n50p1,PLI,1.0
n50p2,GRASP,1.0
n50p2,TABU,1.0
n50p2,GA,1.0
n50p2,PLI,1.0
n50p3,GRASP,1.0
n50p3,TABU,1.0
n50p3,GA,1.0
n50p3,PLI,1.0
