tau,rho,metodo
1.0,0.6,GA
1.002612196131755,0.8,GA
1.0052243922635096,0.8,GA
1.0078365883952645,0.8,GA
1.0104487845270191,1.0,GA
1.013060980658774,1.0,GA
1.0156731767905287,1.0,GA
1.0182853729222836,1.0,GA
1.0208975690540383,1.0,GA
1.0235097651857932,1.0,GA
1.0261219613175478,1.0,GA
1.0287341574493027,1.0,GA
1.0313463535810574,1.0,GA
1.0339585497128123,1.0,GA
1.0365707458445672,1.0,GA
1.0391829419763219,1.0,GA
1.0417951381080768,1.0,GA
1.0444073342398315,1.0,GA
1.0470195303715863,1.0,GA
1.049631726503341,1.0,GA
1.052243922635096,1.0,GA
1.0548561187668506,1.0,GA
1.0574683148986055,1.0,GA
1.0600805110303602,1.0,GA
1.062692707162115,1.0,GA
1.0653049032938697,1.0,GA
1.0679170994256246,1.0,GA
1.0705292955573795,1.0,GA
1.0731414916891342,1.0,GA
1.075753687820889,1.0,GA
1.0783658839526438,1.0,GA
1.0809780800843987,1.0,GA
1.0835902762161533,1.0,GA
1.0862024723479082,1.0,GA
1.088814668479663,1.0,GA
1.0914268646114178,1.0,GA
1.0940390607431725,1.0,GA
1.0966512568749274,1.0,GA
1.099263453006682,1.0,GA
1.101875649138437,1.0,GA
1.1044878452701918,1.0,GA
1.1071000414019465,1.0,GA
1.1097122375337014,1.0,GA
1.112324433665456,1.0,GA
1.114936629797211,1.0,GA
1.1175488259289657,1.0,GA
1.1201610220607205,1.0,GA
1.1227732181924752,1.0,GA
1.1253854143242301,1.0,GA
1.1279976104559848,1.0,GA
1.1306098065877397,1.0,GA
1.1332220027194944,1.0,GA
1.1358341988512493,1.0,GA
1.1384463949830042,1.0,GA
1.1410585911147588,1.0,GA
1.1436707872465135,1.0,GA
1.1462829833782684,1.0,GA
1.1488951795100233,1.0,GA
1.151507375641778,1.0,GA
1.1541195717735329,1.0,GA
1.1567317679052875,1.0,GA
1.1593439640370424,1.0,GA
1.161956160168797,1.0,GA
1.164568356300552,1.0,GA
1.1671805524323067,1.0,GA
1.1697927485640616,1.0,GA
1.1724049446958165,1.0,GA
1.1750171408275711,1.0,GA
1.1776293369593258,1.0,GA
1.1802415330910807,1.0,GA
1.1828537292228356,1.0,GA
1.1854659253545903,1.0,GA
1.1880781214863452,1.0,GA
1.1906903176180998,1.0,GA
1.1933025137498547,1.0,GA
1.1959147098816094,1.0,GA
1.1985269060133643,1.0,GA
1.201139102145119,1.0,GA
1.2037512982768739,1.0,GA
1.2063634944086286,1.0,GA
1.2089756905403835,1.0,GA
1.2115878866721381,1.0,GA
1.214200082803893,1.0,GA
1.216812278935648,1.0,GA
1.2194244750674026,1.0,GA
1.2220366711991575,1.0,GA
1.2246488673309122,1.0,GA
1.227261063462667,1.0,GA
1.2298732595944217,1.0,GA
1.2324854557261766,1.0,GA
1.2350976518579313,1.0,GA
1.2377098479896862,1.0,GA
1.2403220441214409,1.0,GA
1.2429342402531958,1.0,GA
1.2455464363849504,1.0,GA
1.2481586325167053,1.0,GA
1.2507708286484602,1.0,GA
1.253383024780215,1.0,GA
1.2559952209119698,1.0,GA
1.2586074170437245,1.0,GA
1.2612196131754794,1.0,GA
1.263831809307234,1.0,GA
1.266444005438989,1.0,GA
1.2690562015707436,1.0,GA
1.2716683977024985,1.0,GA
1.2742805938342534,1.0,GA
1.276892789966008,1.0,GA
1.2795049860977628,1.0,GA
1.2821171822295176,1.0,GA
1.2847293783612725,1.0,GA
1.2873415744930272,1.0,GA
1.289953770624782,1.0,GA
1.2925659667565368,1.0,GA
1.2951781628882917,1.0,GA
1.2977903590200464,1.0,GA
1.3004025551518013,1.0,GA
1.303014751283556,1.0,GA
1.3056269474153108,1.0,GA
1.3082391435470657,1.0,GA
1.3108513396788204,1.0,GA
1.313463535810575,1.0,GA
1.31607573194233,1.0,GA
1.3186879280740849,1.0,GA
1.3213001242058395,1.0,GA
1.3239123203375942,1.0,GA
1.326524516469349,1.0,GA
1.329136712601104,1.0,GA
1.3317489087328587,1.0,GA
1.3343611048646136,1.0,GA
1.3369733009963682,1.0,GA
1.3395854971281231,1.0,GA
1.3421976932598778,1.0,GA
1.3448098893916327,1.0,GA
1.3474220855233874,1.0,GA
1.3500342816551423,1.0,GA
1.3526464777868972,1.0,GA
1.3552586739186518,1.0,GA
1.3578708700504065,1.0,GA
1.3604830661821614,1.0,GA
1.3630952623139163,1.0,GA
1.365707458445671,1.0,GA
1.3683196545774259,1.0,GA
1.3709318507091806,1.0,GA
1.3735440468409355,1.0,GA
1.3761562429726901,1.0,GA
1.378768439104445,1.0,GA
1.3813806352361997,1.0,GA
1.3839928313679546,1.0,GA
1.3866050274997095,1.0,GA
1.3892172236314642,1.0,GA
1.3918294197632188,1.0,GA
1.3944416158949737,1.0,GA
1.3970538120267286,1.0,GA
1.3996660081584833,1.0,GA
1.4022782042902382,1.0,GA
1.4048904004219929,1.0,GA
1.4075025965537478,1.0,GA
1.4101147926855024,1.0,GA
1.4127269888172573,1.0,GA
1.415339184949012,1.0,GA
1.417951381080767,1.0,GA
1.4205635772125218,1.0,GA
1.4231757733442765,1.0,GA
1.4257879694760311,1.0,GA
1.428400165607786,1.0,GA
1.431012361739541,1.0,GA
1.4336245578712956,1.0,GA
1.4362367540030505,1.0,GA
1.4388489501348052,1.0,GA
1.44146114626656,1.0,GA
1.4440733423983148,1.0,GA
1.4466855385300696,1.0,GA
1.4492977346618243,1.0,GA
1.4519099307935792,1.0,GA
1.4545221269253341,1.0,GA
1.4571343230570888,1.0,GA
1.4597465191888435,1.0,GA
1.4623587153205984,1.0,GA
1.4649709114523533,1.0,GA
1.467583107584108,1.0,GA
1.4701953037158628,1.0,GA
1.4728074998476175,1.0,GA
1.4754196959793724,1.0,GA
1.478031892111127,1.0,GA
1.480644088242882,1.0,GA
1.4832562843746366,1.0,GA
1.4858684805063915,1.0,GA
1.4884806766381464,1.0,GA
1.491092872769901,1.0,GA
1.4937050689016558,1.0,GA
1.4963172650334107,1.0,GA
1.4989294611651656,1.0,GA
1.5015416572969202,1.0,GA
1.504153853428675,1.0,GA
1.5067660495604298,1.0,GA
1.5093782456921847,1.0,GA
1.5119904418239396,1.0,GA
1.5146026379556943,1.0,GA
1.517214834087449,1.0,GA
1.5198270302192038,1.0,GA
1.0,1.0,GRASP
1.002612196131755,1.0,GRASP
1.0052243922635096,1.0,GRASP
1.0078365883952645,1.0,GRASP
1.0104487845270191,1.0,GRASP
1.013060980658774,1.0,GRASP
1.0156731767905287,1.0,GRASP
1.0182853729222836,1.0,GRASP
1.0208975690540383,1.0,GRASP
1.0235097651857932,1.0,GRASP
1.0261219613175478,1.0,GRASP
1.0287341574493027,1.0,GRASP
1.0313463535810574,1.0,GRASP
1.0339585497128123,1.0,GRASP
1.0365707458445672,1.0,GRASP
1.0391829419763219,1.0,GRASP
1.0417951381080768,1.0,GRASP
1.0444073342398315,1.0,GRASP
1.0470195303715863,1.0,GRASP
1.049631726503341,1.0,GRASP
1.052243922635096,1.0,GRASP
1.0548561187668506,1.0,GRASP
1.0574683148986055,1.0,GRASP
1.0600805110303602,1.0,GRASP
1.062692707162115,1.0,GRASP
1.0653049032938697,1.0,GRASP
1.0679170994256246,1.0,GRASP
1.0705292955573795,1.0,GRASP
1.0731414916891342,1.0,GRASP
1.075753687820889,1.0,GRASP
1.0783658839526438,1.0,GRASP
1.0809780800843987,1.0,GRASP
1.0835902762161533,1.0,GRASP
1.0862024723479082,1.0,GRASP
1.088814668479663,1.0,GRASP
1.0914268646114178,1.0,GRASP
1.0940390607431725,1.0,GRASP
1.0966512568749274,1.0,GRASP
1.099263453006682,1.0,GRASP
1.101875649138437,1.0,GRASP
1.1044878452701918,1.0,GRASP
1.1071000414019465,1.0,GRASP
1.1097122375337014,1.0,GRASP
1.112324433665456,1.0,GRASP
1.114936629797211,1.0,GRASP
1.1175488259289657,1.0,GRASP
1.1201610220607205,1.0,GRASP
1.1227732181924752,1.0,GRASP
1.1253854143242301,1.0,GRASP
1.1279976104559848,1.0,GRASP
1.1306098065877397,1.0,GRASP
1.1332220027194944,1.0,GRASP
1.1358341988512493,1.0,GRASP
