tau,rho,metodo
1.0,0.6,GA
1.0000502512562814,0.6,GA
1.0001005025125629,0.6,GA
1.0001507537688443,0.6,GA
1.0002010050251255,0.6,GA
1.000251256281407,0.6,GA
1.0003015075376884,0.6,GA
1.0003517587939699,0.6,GA
1.0004020100502513,0.6,GA
1.0004522613065328,0.6,GA
1.000502512562814,0.6,GA
1.0005527638190954,0.6,GA
1.0006030150753769,0.6,GA
1.0006532663316583,0.6,GA
1.0007035175879397,0.6,GA
1.0007537688442212,0.6,GA
1.0008040201005026,0.6,GA
1.0008542713567838,0.6,GA
1.0009045226130653,0.6,GA
1.0009547738693467,0.6,GA
1.0010050251256282,0.6,GA
1.0010552763819096,0.6,GA
1.001105527638191,0.6,GA
1.0011557788944723,0.6,GA
1.0012060301507537,0.6,GA
1.0012562814070352,0.6,GA
1.0013065326633166,0.6,GA
1.001356783919598,0.6,GA
1.0014070351758795,0.6,GA
1.0014572864321607,0.6,GA
1.0015075376884421,0.6,GA
1.0015577889447236,0.6,GA
1.001608040201005,0.8,GA
1.0016582914572865,0.8,GA
1.001708542713568,0.8,GA
1.0017587939698493,0.8,GA
1.0018090452261306,0.8,GA
1.001859296482412,0.8,GA
1.0019095477386935,0.8,GA
1.001959798994975,0.8,GA
1.0020100502512563,0.8,GA
1.0020603015075378,0.8,GA
1.002110552763819,0.8,GA
1.0021608040201004,0.8,GA
1.0022110552763819,0.8,GA
1.0022613065326633,0.8,GA
1.0023115577889448,0.8,GA
1.0023618090452262,0.8,GA
1.0024120603015076,0.8,GA
1.0024623115577889,0.8,GA
1.0025125628140703,0.8,GA
1.0025628140703517,0.8,GA
1.0026130653266332,0.8,GA
1.0026633165829146,0.8,GA
1.002713567839196,0.8,GA
1.0027638190954773,0.8,GA
1.0028140703517587,0.8,GA
1.0028643216080402,0.8,GA
1.0029145728643216,0.8,GA
1.002964824120603,0.8,GA
1.0030150753768845,0.8,GA
1.0030653266331657,0.8,GA
1.0031155778894472,0.8,GA
1.0031658291457286,0.8,GA
1.00321608040201,0.8,GA
1.0032663316582915,0.8,GA
1.003316582914573,0.8,GA
1.0033668341708544,0.8,GA
1.0034170854271356,0.8,GA
1.003467336683417,0.8,GA
1.0035175879396985,0.8,GA
1.00356783919598,0.8,GA
1.0036180904522614,0.8,GA
1.0036683417085428,0.8,GA
1.003718592964824,0.8,GA
1.0037688442211055,0.8,GA
1.003819095477387,0.8,GA
1.0038693467336683,0.8,GA
1.0039195979899498,0.8,GA
1.0039698492462312,0.8,GA
1.0040201005025127,0.8,GA
1.0040703517587939,0.8,GA
1.0041206030150753,0.8,GA
1.0041708542713568,0.8,GA
1.0042211055276382,0.8,GA
1.0042713567839197,0.8,GA
1.004321608040201,0.8,GA
1.0043718592964823,0.8,GA
1.0044221105527638,0.8,GA
1.0044723618090452,0.8,GA
1.0045226130653266,0.8,GA
1.004572864321608,0.8,GA
1.0046231155778895,0.8,GA
1.004673366834171,0.8,GA
1.0047236180904522,0.8,GA
1.0047738693467336,0.8,GA
1.004824120603015,0.8,GA
1.0048743718592965,0.8,GA
1.004924623115578,0.8,GA
1.0049748743718594,0.8,GA
1.0050251256281406,0.8,GA
1.005075376884422,0.8,GA
1.0051256281407035,0.8,GA
1.005175879396985,0.8,GA
1.0052261306532664,0.8,GA
1.0052763819095478,0.8,GA
1.005326633165829,0.8,GA
1.0053768844221105,0.8,GA
1.005427135678392,0.8,GA
1.0054773869346734,0.8,GA
1.0055276381909548,0.8,GA
1.0055778894472363,0.8,GA
1.0056281407035177,0.8,GA
1.005678391959799,0.8,GA
1.0057286432160804,0.8,GA
1.0057788944723618,0.8,GA
1.0058291457286432,0.8,GA
1.0058793969849247,0.8,GA
1.0059296482412061,0.8,GA
1.0059798994974873,0.8,GA
1.0060301507537688,0.8,GA
1.0060804020100502,0.8,GA
1.0061306532663317,0.8,GA
1.006180904522613,0.8,GA
1.0062311557788945,0.8,GA
1.006281407035176,0.8,GA
1.0063316582914572,0.8,GA
1.0063819095477387,0.8,GA
1.00643216080402,0.8,GA
1.0064824120603015,0.8,GA
1.006532663316583,0.8,GA
1.0065829145728644,0.8,GA
1.0066331658291456,0.8,GA
1.006683417085427,0.8,GA
1.0067336683417085,0.8,GA
1.00678391959799,0.8,GA
1.0068341708542714,0.8,GA
1.0068844221105528,0.8,GA
1.006934673366834,0.8,GA
1.0069849246231155,0.8,GA
1.007035175879397,0.8,GA
1.0070854271356784,0.8,GA
1.0071356783919598,0.8,GA
1.0071859296482413,0.8,GA
1.0072361809045227,0.8,GA
1.007286432160804,0.8,GA
1.0073366834170854,0.8,GA
1.0073869346733668,0.8,GA
1.0074371859296483,0.8,GA
1.0074874371859297,0.8,GA
1.0075376884422111,0.8,GA
1.0075879396984924,0.8,GA
1.0076381909547738,0.8,GA
1.0076884422110552,0.8,GA
1.0077386934673367,0.8,GA
1.0077889447236181,0.8,GA
1.0078391959798996,0.8,GA
1.007889447236181,0.8,GA
1.0079396984924622,0.8,GA
1.0079899497487437,0.8,GA
1.0080402010050251,0.8,GA
1.0080904522613066,0.8,GA
1.008140703517588,0.8,GA
1.0081909547738694,0.8,GA
1.0082412060301507,0.8,GA
1.008291457286432,0.8,GA
1.0083417085427135,0.8,GA
1.008391959798995,0.8,GA
1.0084422110552764,1.0,GA
1.0084924623115579,1.0,GA
1.0085427135678393,1.0,GA
1.0085929648241205,1.0,GA
1.008643216080402,1.0,GA
1.0086934673366834,1.0,GA
1.0087437185929649,1.0,GA
1.0087939698492463,1.0,GA
1.0088442211055277,1.0,GA
1.008894472361809,1.0,GA
1.0089447236180904,1.0,GA
1.0089949748743718,1.0,GA
1.0090452261306533,1.0,GA
1.0090954773869347,1.0,GA
1.0091457286432162,1.0,GA
1.0091959798994974,1.0,GA
1.0092462311557788,1.0,GA
1.0092964824120603,1.0,GA
