instancia,GRASP_value,TABU_value,GA_value,PLI_value
n100p1,1299.9,1230.66,458.86,1291.9
n100p2,1818.5,1801.39,1818.5,1818.5
n100p3,1707.06,1705.63,1707.06,1699.02
n200p1,4961.22,4961.22,1551.36,4945.25
n200p2,4669.34,4663.4,4667.81,4429.1
n200p3,4957.67,4888.29,4915.92,4715.38
n25p1,130.23,113.39,130.23,130.23
n25p2,295.03,295.03,295.03,295.03
n25p3,219.29,219.29,219.29,219.29
n400p1,10483.94,10478.36,-1522.48,9305.59
n400p2,13108.48,13085.76,13085.76,6248.32
n400p3,12869.3,8083.8,12848.96,6179.49
n50p1,695.3,695.3,690.12,695.3
n50p2,604.28,604.28,604.28,604.28
n50p3,519.6,519.6,519.6,519.6
