instancia,target,seed,tempo_para_target_ms
instances/scqbf/n200p3.txt,4715.38,2025,12931
instances/scqbf/n200p3.txt,4715.38,2026,13126
instances/scqbf/n200p3.txt,4715.38,2027,10732
instances/scqbf/n200p3.txt,4715.38,2028,12244
instances/scqbf/n200p3.txt,4715.38,2029,12016
instances/scqbf/n200p3.txt,4715.38,2030,11348
instances/scqbf/n200p3.txt,4715.38,2031,12157
instances/scqbf/n200p3.txt,4715.38,2032,11259
instances/scqbf/n200p3.txt,4715.38,2033,12398
instances/scqbf/n200p3.txt,4715.38,2034,11106
instances/scqbf/n200p3.txt,4715.38,2035,12743
instances/scqbf/n200p3.txt,4715.38,2036,12916
instances/scqbf/n200p3.txt,4715.38,2037,11805
instances/scqbf/n200p3.txt,4715.38,2038,12896
instances/scqbf/n200p3.txt,4715.38,2039,13022
instances/scqbf/n200p3.txt,4715.38,2040,14492
instances/scqbf/n200p3.txt,4715.38,2041,12770
instances/scqbf/n200p3.txt,4715.38,2042,11791
instances/scqbf/n200p3.txt,4715.38,2043,12881
instances/scqbf/n200p3.txt,4715.38,2044,15494
instances/scqbf/n200p3.txt,4715.38,2045,11507
instances/scqbf/n200p3.txt,4715.38,2046,12662
instances/scqbf/n200p3.txt,4715.38,2047,11675
instances/scqbf/n200p3.txt,4715.38,2048,11425
instances/scqbf/n200p3.txt,4715.38,2049,12552
instances/scqbf/n200p3.txt,4715.38,2050,12316
instances/scqbf/n200p3.txt,4715.38,2051,12608
instances/scqbf/n200p3.txt,4715.38,2052,12594
instances/scqbf/n200p3.txt,4715.38,2053,11401
instances/scqbf/n200p3.txt,4715.38,2054,13239
instances/scqbf/n200p3.txt,4715.38,2055,12760
instances/scqbf/n200p3.txt,4715.38,2056,13493
instances/scqbf/n200p3.txt,4715.38,2057,12634
instances/scqbf/n200p3.txt,4715.38,2058,12916
instances/scqbf/n200p3.txt,4715.38,2059,12146
instances/scqbf/n200p3.txt,4715.38,2060,12505
instances/scqbf/n200p3.txt,4715.38,2061,12857
instances/scqbf/n200p3.txt,4715.38,2062,14928
instances/scqbf/n200p3.txt,4715.38,2063,11611
instances/scqbf/n200p3.txt,4715.38,2064,12676
instances/scqbf/n200p3.txt,4715.38,2065,11528
instances/scqbf/n200p3.txt,4715.38,2066,12650
instances/scqbf/n200p3.txt,4715.38,2067,13162
instances/scqbf/n200p3.txt,4715.38,2068,12544
instances/scqbf/n200p3.txt,4715.38,2069,12740
instances/scqbf/n200p3.txt,4715.38,2070,12402
instances/scqbf/n200p3.txt,4715.38,2071,13761
instances/scqbf/n200p3.txt,4715.38,2072,14139
instances/scqbf/n200p3.txt,4715.38,2073,13184
instances/scqbf/n200p3.txt,4715.38,2074,11347
instances/scqbf/n200p3.txt,4715.38,2075,11212
instances/scqbf/n200p3.txt,4715.38,2076,12003
instances/scqbf/n200p3.txt,4715.38,2077,13624
instances/scqbf/n200p3.txt,4715.38,2078,11270
instances/scqbf/n200p3.txt,4715.38,2079,12676
instances/scqbf/n200p3.txt,4715.38,2080,13694
instances/scqbf/n200p3.txt,4715.38,2081,12804
instances/scqbf/n200p3.txt,4715.38,2082,14501
instances/scqbf/n200p3.txt,4715.38,2083,18075
instances/scqbf/n200p3.txt,4715.38,2084,11402
instances/scqbf/n200p3.txt,4715.38,2085,16767
instances/scqbf/n200p3.txt,4715.38,2086,14255
instances/scqbf/n200p3.txt,4715.38,2087,15942
instances/scqbf/n200p3.txt,4715.38,2088,14316
instances/scqbf/n200p3.txt,4715.38,2089,18338
instances/scqbf/n200p3.txt,4715.38,2090,18645
instances/scqbf/n200p3.txt,4715.38,2091,13106
