instancia,target,seed,tempo_para_target_ms
instances/scqbf/n200p3.txt,4715.38,2025,1252
instances/scqbf/n200p3.txt,4715.38,2026,1051
instances/scqbf/n200p3.txt,4715.38,2027,1119
instances/scqbf/n200p3.txt,4715.38,2028,1559
instances/scqbf/n200p3.txt,4715.38,2029,1823
instances/scqbf/n200p3.txt,4715.38,2030,1516
instances/scqbf/n200p3.txt,4715.38,2031,1439
instances/scqbf/n200p3.txt,4715.38,2032,1148
instances/scqbf/n200p3.txt,4715.38,2033,997
instances/scqbf/n200p3.txt,4715.38,2034,1051
instances/scqbf/n200p3.txt,4715.38,2035,1145
instances/scqbf/n200p3.txt,4715.38,2036,1169
instances/scqbf/n200p3.txt,4715.38,2037,1175
instances/scqbf/n200p3.txt,4715.38,2038,1068
instances/scqbf/n200p3.txt,4715.38,2039,1177
instances/scqbf/n200p3.txt,4715.38,2040,1059
instances/scqbf/n200p3.txt,4715.38,2041,1620
instances/scqbf/n200p3.txt,4715.38,2042,1165
instances/scqbf/n200p3.txt,4715.38,2043,1146
instances/scqbf/n200p3.txt,4715.38,2044,1151
instances/scqbf/n200p3.txt,4715.38,2045,1123
instances/scqbf/n200p3.txt,4715.38,2046,994
instances/scqbf/n200p3.txt,4715.38,2047,1160
instances/scqbf/n200p3.txt,4715.38,2048,1435
instances/scqbf/n200p3.txt,4715.38,2049,1230
instances/scqbf/n200p3.txt,4715.38,2050,1307
instances/scqbf/n200p3.txt,4715.38,2051,1164
instances/scqbf/n200p3.txt,4715.38,2052,944
instances/scqbf/n200p3.txt,4715.38,2053,1109
instances/scqbf/n200p3.txt,4715.38,2054,1079
instances/scqbf/n200p3.txt,4715.38,2055,1104
instances/scqbf/n200p3.txt,4715.38,2056,1147
instances/scqbf/n200p3.txt,4715.38,2057,1191
instances/scqbf/n200p3.txt,4715.38,2058,1244
instances/scqbf/n200p3.txt,4715.38,2059,1057
instances/scqbf/n200p3.txt,4715.38,2060,1082
instances/scqbf/n200p3.txt,4715.38,2061,950
instances/scqbf/n200p3.txt,4715.38,2062,1379
instances/scqbf/n200p3.txt,4715.38,2063,1054
instances/scqbf/n200p3.txt,4715.38,2064,1078
instances/scqbf/n200p3.txt,4715.38,2065,1788
instances/scqbf/n200p3.txt,4715.38,2066,1141
instances/scqbf/n200p3.txt,4715.38,2067,1243
instances/scqbf/n200p3.txt,4715.38,2068,1024
instances/scqbf/n200p3.txt,4715.38,2069,1567
instances/scqbf/n200p3.txt,4715.38,2070,1631
instances/scqbf/n200p3.txt,4715.38,2071,1099
instances/scqbf/n200p3.txt,4715.38,2072,1144
instances/scqbf/n200p3.txt,4715.38,2073,1052
instances/scqbf/n200p3.txt,4715.38,2074,1090
instances/scqbf/n200p3.txt,4715.38,2075,1221
instances/scqbf/n200p3.txt,4715.38,2076,1318
