instancia,target,seed,tempo_para_target_ms
instances/scqbf/n200p3.txt,4715.38,2025,15809
instances/scqbf/n200p3.txt,4715.38,2026,17720
instances/scqbf/n200p3.txt,4715.38,2027,13725
instances/scqbf/n200p3.txt,4715.38,2028,11608
instances/scqbf/n200p3.txt,4715.38,2029,25367
instances/scqbf/n200p3.txt,4715.38,2030,10274
instances/scqbf/n200p3.txt,4715.38,2031,20391
instances/scqbf/n200p3.txt,4715.38,2032,14182
instances/scqbf/n200p3.txt,4715.38,2033,30875
instances/scqbf/n200p3.txt,4715.38,2034,25938
instances/scqbf/n200p3.txt,4715.38,2035,19404
instances/scqbf/n200p3.txt,4715.38,2036,26164
instances/scqbf/n200p3.txt,4715.38,2037,28727
instances/scqbf/n200p3.txt,4715.38,2038,25137
instances/scqbf/n200p3.txt,4715.38,2039,41924
instances/scqbf/n200p3.txt,4715.38,2040,19433
instances/scqbf/n200p3.txt,4715.38,2041,23295
instances/scqbf/n200p3.txt,4715.38,2042,14109
instances/scqbf/n200p3.txt,4715.38,2043,23249
instances/scqbf/n200p3.txt,4715.38,2044,12944
instances/scqbf/n200p3.txt,4715.38,2045,5797
instances/scqbf/n200p3.txt,4715.38,2046,11735
instances/scqbf/n200p3.txt,4715.38,2047,27361
instances/scqbf/n200p3.txt,4715.38,2048,22767
instances/scqbf/n200p3.txt,4715.38,2049,15519
instances/scqbf/n200p3.txt,4715.38,2050,32758
instances/scqbf/n200p3.txt,4715.38,2051,10861
instances/scqbf/n200p3.txt,4715.38,2052,24124
instances/scqbf/n200p3.txt,4715.38,2053,11596
instances/scqbf/n200p3.txt,4715.38,2054,20788
instances/scqbf/n200p3.txt,4715.38,2055,13268
instances/scqbf/n200p3.txt,4715.38,2056,9209
instances/scqbf/n200p3.txt,4715.38,2057,26386
instances/scqbf/n200p3.txt,4715.38,2058,21028
instances/scqbf/n200p3.txt,4715.38,2059,10137
instances/scqbf/n200p3.txt,4715.38,2060,10818
instances/scqbf/n200p3.txt,4715.38,2061,7343
instances/scqbf/n200p3.txt,4715.38,2062,13934
instances/scqbf/n200p3.txt,4715.38,2063,11167
instances/scqbf/n200p3.txt,4715.38,2064,26968
instances/scqbf/n200p3.txt,4715.38,2065,5644
instances/scqbf/n200p3.txt,4715.38,2066,32544
instances/scqbf/n200p3.txt,4715.38,2067,25565
instances/scqbf/n200p3.txt,4715.38,2068,5242
instances/scqbf/n200p3.txt,4715.38,2069,11563
instances/scqbf/n200p3.txt,4715.38,2070,18450
instances/scqbf/n200p3.txt,4715.38,2071,27350
instances/scqbf/n200p3.txt,4715.38,2072,30466
instances/scqbf/n200p3.txt,4715.38,2073,19682
instances/scqbf/n200p3.txt,4715.38,2074,29823
instances/scqbf/n200p3.txt,4715.38,2075,17476
instances/scqbf/n200p3.txt,4715.38,2076,13668
instances/scqbf/n200p3.txt,4715.38,2077,19459
instances/scqbf/n200p3.txt,4715.38,2078,8196
instances/scqbf/n200p3.txt,4715.38,2079,29217
instances/scqbf/n200p3.txt,4715.38,2080,16777
instances/scqbf/n200p3.txt,4715.38,2081,25365
instances/scqbf/n200p3.txt,4715.38,2082,42851
instances/scqbf/n200p3.txt,4715.38,2083,15739
