Configuration,Instance,BestCost,TotalIterations,IterationsToOptimal,ExecutionTimeMs,StoppingCriterion,StoppedByTime,SolutionSize
GRASP_alpha=0.05,n25p1.txt,130.23,101,0,161,NO_IMPROV,false,18
GRASP_alpha=0.9,n25p1.txt,130.23,102,1,120,NO_IMPROV,false,18
GRASP_FirstImproving,n25p1.txt,130.23,101,0,42,NO_IMPROV,false,18
GRASP_Reactive,n25p1.txt,130.23,101,0,107,NO_IMPROV,false,18
GRASP_RandomPlusGreedy,n25p1.txt,130.23,101,0,69,NO_IMPROV,false,18
GRASP_FirstImp_alpha=0.05,n25p1.txt,130.23,101,0,39,NO_IMPROV,false,18
GRASP_FirstImp_alpha=0.9,n25p1.txt,130.23,101,0,41,NO_IMPROV,false,18
GRASP_FirstImp_Reactive,n25p1.txt,130.23,101,0,42,NO_IMPROV,false,18
GRASP_FirstImp_RandomPlusGreedy,n25p1.txt,130.23,101,0,33,NO_IMPROV,false,18
GRASP_Reactive_RandomPlusGreedy,n25p1.txt,130.23,101,0,66,NO_IMPROV,false,18
GRASP_RandomPlusGreedy_alpha=0.9,n25p1.txt,130.23,101,0,65,NO_IMPROV,false,18
GRASP_FirstImp_Reactive_RandomPlusGreedy,n25p1.txt,130.23,101,0,37,NO_IMPROV,false,18
GRASP_alpha=0.05,n25p2.txt,295.03,101,0,59,NO_IMPROV,false,16
GRASP_alpha=0.9,n25p2.txt,295.03,101,0,128,NO_IMPROV,false,16
GRASP_FirstImproving,n25p2.txt,295.03,101,0,44,NO_IMPROV,false,16
GRASP_Reactive,n25p2.txt,295.03,101,0,79,NO_IMPROV,false,16
GRASP_RandomPlusGreedy,n25p2.txt,295.03,101,0,89,NO_IMPROV,false,16
GRASP_FirstImp_alpha=0.05,n25p2.txt,295.03,101,0,45,NO_IMPROV,false,16
GRASP_FirstImp_alpha=0.9,n25p2.txt,295.03,101,0,40,NO_IMPROV,false,16
GRASP_FirstImp_Reactive,n25p2.txt,295.03,101,0,52,NO_IMPROV,false,16
GRASP_FirstImp_RandomPlusGreedy,n25p2.txt,295.03,101,0,45,NO_IMPROV,false,16
GRASP_Reactive_RandomPlusGreedy,n25p2.txt,295.03,101,0,93,NO_IMPROV,false,16
GRASP_RandomPlusGreedy_alpha=0.9,n25p2.txt,295.03,101,0,91,NO_IMPROV,false,16
GRASP_FirstImp_Reactive_RandomPlusGreedy,n25p2.txt,295.03,101,0,41,NO_IMPROV,false,16
GRASP_alpha=0.05,n25p3.txt,219.29,101,0,194,NO_IMPROV,false,17
GRASP_alpha=0.9,n25p3.txt,219.29,101,0,281,NO_IMPROV,false,17
GRASP_FirstImproving,n25p3.txt,219.29,101,0,92,NO_IMPROV,false,17
GRASP_Reactive,n25p3.txt,219.29,101,0,154,NO_IMPROV,false,17
GRASP_RandomPlusGreedy,n25p3.txt,219.29,101,0,104,NO_IMPROV,false,17
GRASP_FirstImp_alpha=0.05,n25p3.txt,219.29,101,0,88,NO_IMPROV,false,17
GRASP_FirstImp_alpha=0.9,n25p3.txt,219.29,101,0,57,NO_IMPROV,false,17
GRASP_FirstImp_Reactive,n25p3.txt,219.29,101,0,81,NO_IMPROV,false,17
GRASP_FirstImp_RandomPlusGreedy,n25p3.txt,219.29,101,0,53,NO_IMPROV,false,17
GRASP_Reactive_RandomPlusGreedy,n25p3.txt,219.29,101,0,106,NO_IMPROV,false,17
GRASP_RandomPlusGreedy_alpha=0.9,n25p3.txt,219.29,101,0,101,NO_IMPROV,false,17
GRASP_FirstImp_Reactive_RandomPlusGreedy,n25p3.txt,219.29,101,0,52,NO_IMPROV,false,17
GRASP_alpha=0.05,n50p1.txt,690.12,101,0,757,NO_IMPROV,false,37
GRASP_alpha=0.9,n50p1.txt,695.30,101,0,1708,NO_IMPROV,false,36
GRASP_FirstImproving,n50p1.txt,695.30,101,0,343,NO_IMPROV,false,36
GRASP_Reactive,n50p1.txt,695.30,101,0,996,NO_IMPROV,false,36
GRASP_RandomPlusGreedy,n50p1.txt,695.30,101,0,739,NO_IMPROV,false,36
GRASP_FirstImp_alpha=0.05,n50p1.txt,695.30,101,0,343,NO_IMPROV,false,36
GRASP_FirstImp_alpha=0.9,n50p1.txt,695.30,194,93,415,NO_IMPROV,false,36
GRASP_FirstImp_Reactive,n50p1.txt,695.30,102,1,311,NO_IMPROV,false,36
GRASP_FirstImp_RandomPlusGreedy,n50p1.txt,695.30,101,0,240,NO_IMPROV,false,36
GRASP_Reactive_RandomPlusGreedy,n50p1.txt,695.30,106,5,766,NO_IMPROV,false,36
GRASP_RandomPlusGreedy_alpha=0.9,n50p1.txt,695.30,101,0,714,NO_IMPROV,false,36
GRASP_FirstImp_Reactive_RandomPlusGreedy,n50p1.txt,695.30,101,0,245,NO_IMPROV,false,36
GRASP_alpha=0.05,n50p2.txt,604.28,102,1,2412,NO_IMPROV,false,31
GRASP_alpha=0.9,n50p2.txt,604.28,117,16,5045,NO_IMPROV,false,31
GRASP_FirstImproving,n50p2.txt,595.56,101,0,752,NO_IMPROV,false,33
GRASP_Reactive,n50p2.txt,604.28,115,14,3199,NO_IMPROV,false,31
GRASP_RandomPlusGreedy,n50p2.txt,604.28,105,4,1403,NO_IMPROV,false,31
GRASP_FirstImp_alpha=0.05,n50p2.txt,595.56,101,0,754,NO_IMPROV,false,33
GRASP_FirstImp_alpha=0.9,n50p2.txt,604.28,104,3,435,NO_IMPROV,false,31
GRASP_FirstImp_Reactive,n50p2.txt,604.28,104,3,727,NO_IMPROV,false,31
GRASP_FirstImp_RandomPlusGreedy,n50p2.txt,604.28,103,2,496,NO_IMPROV,false,31
GRASP_Reactive_RandomPlusGreedy,n50p2.txt,604.28,105,4,1308,NO_IMPROV,false,31
GRASP_RandomPlusGreedy_alpha=0.9,n50p2.txt,604.28,101,0,1373,NO_IMPROV,false,31
GRASP_FirstImp_Reactive_RandomPlusGreedy,n50p2.txt,604.28,103,2,554,NO_IMPROV,false,31
GRASP_alpha=0.05,n50p3.txt,519.60,106,5,1797,NO_IMPROV,false,26
GRASP_alpha=0.9,n50p3.txt,519.60,109,8,3130,NO_IMPROV,false,26
GRASP_FirstImproving,n50p3.txt,519.60,132,31,844,NO_IMPROV,false,26
GRASP_Reactive,n50p3.txt,519.60,121,20,2447,NO_IMPROV,false,26
GRASP_RandomPlusGreedy,n50p3.txt,519.60,104,3,2114,NO_IMPROV,false,26
GRASP_FirstImp_alpha=0.05,n50p3.txt,519.60,104,3,777,NO_IMPROV,false,26
GRASP_FirstImp_alpha=0.9,n50p3.txt,519.60,105,4,1206,NO_IMPROV,false,26
GRASP_FirstImp_Reactive,n50p3.txt,519.60,121,20,823,NO_IMPROV,false,26
GRASP_FirstImp_RandomPlusGreedy,n50p3.txt,519.60,105,4,491,NO_IMPROV,false,26
GRASP_Reactive_RandomPlusGreedy,n50p3.txt,519.60,102,1,1717,NO_IMPROV,false,26
GRASP_RandomPlusGreedy_alpha=0.9,n50p3.txt,519.60,102,1,1782,NO_IMPROV,false,26
GRASP_FirstImp_Reactive_RandomPlusGreedy,n50p3.txt,519.60,101,0,537,NO_IMPROV,false,26
GRASP_alpha=0.05,n100p1.txt,1299.90,116,15,18987,NO_IMPROV,false,65
GRASP_alpha=0.9,n100p1.txt,1299.90,102,1,30606,NO_IMPROV,false,65
GRASP_FirstImproving,n100p1.txt,1299.90,103,2,3060,NO_IMPROV,false,65
GRASP_Reactive,n100p1.txt,1299.90,101,0,20413,NO_IMPROV,false,65
GRASP_RandomPlusGreedy,n100p1.txt,1299.90,109,8,15643,NO_IMPROV,false,65
