Instance,Solver,Objective,Risk_Reduction_%,Time_s,Stop_Reason,Budget_Used_%,Students_Served_%,MIP_Gap_%
classroom,ILP,9.478462,32.49,0.1,OPTIMAL,100.0,87.5,0.0128
classroom,GRASP,9.7536,30.53,14.96,FEASIBLE,99.93,100.0,
classroom,GRASP_Reactive_VND,9.779719,30.35,15.0,FEASIBLE,99.97,100.0,
school,ILP,337.941409,14.77,6.48,OPTIMAL,99.98,41.4,0.0073
school,GRASP,345.361958,12.9,145.9,FEASIBLE,99.99,36.9,
school,GRASP_Reactive_VND,344.959954,13.0,212.66,FEASIBLE,99.99,42.9,
neighborhood,ILP,3474.704625,14.2,12.1,OPTIMAL,99.99,29.86,0.0009
neighborhood,GRASP,3528.390359,12.87,611.11,FEASIBLE,100.0,38.57,
neighborhood,GRASP_Reactive_VND,3528.630712,12.87,605.16,FEASIBLE,100.0,36.4,
rural_city,ILP,24817.920731,12.07,136.76,OPTIMAL,100.0,34.45,0.0002
rural_city,GRASP,24969.53481,11.53,664.7,FEASIBLE,100.0,40.18,
rural_city,GRASP_Reactive_VND,24966.228351,11.54,701.54,FEASIBLE,100.0,40.37,
country_city,ILP,58483.45,-0.0,601.42,TIME_LIMIT,0.0,0.0,13.3904
country_city,GRASP,51230.621927,12.4,760.14,FEASIBLE,100.0,40.34,
country_city,GRASP_Reactive_VND,51222.929579,12.41,764.22,FEASIBLE,100.0,40.5,
urban_city,ILP,95999.471,0.0,602.34,TIME_LIMIT,0.0,0.0,12.7797
urban_city,GRASP,86146.575504,10.26,636.93,FEASIBLE,100.0,31.37,
urban_city,GRASP_Reactive_VND,85028.265911,11.43,692.61,FEASIBLE,100.0,36.47,
state,GRASP,355182.766961,7.21,2486.35,FEASIBLE,100.0,22.78,
state,GRASP_Reactive_VND,355283.748136,7.18,2623.46,FEASIBLE,100.0,22.75,
